trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-183.01514493529356,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9025}",35,17,-160.89391334629804,"{0: 8, 1: 0, 2: 6, 3: 2, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",30,20,-33.92925895132827,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",20,0,-156.12025442133992,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7737809374999999}",30,5,-304.56279229594355,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 6}",1
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",35,6,-215.83947902462887,"{0: 15, 1: 3, 2: 6, 3: 2, 4: 3}",1
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",20,8,-85.09927717348003,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",20,9,-57.07788125567984,"{0: 5, 1: 1, 2: 4, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",30,7,-22.72110741156058,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.5987369392383786}",20,0,8.40465623538476,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.5688000922764596}",20,0,-94.72082137643962,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.5403600876626365}",20,9,-6.10046504563681,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.5133420832795047}",20,5,-16.52622379704529,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.48767497911552943}",20,0,-5.781186384245133,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.46329123015975293}",20,0,-37.527841862967904,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.44012666865176525}",20,13,0.6384070512089615,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.41812033521917696}",25,0,-49.70521408666304,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.3972143184582181}",20,5,11.10686522807208,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.37735360253530714}",20,0,-70.1935733531713,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.35848592240854177}",25,15,5.222172516769499,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.34056162628811465}",25,14,20.528596136929142,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.3235335449737089}",20,14,11.729943784749366,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.30735686772502346}",25,12,7.58172312121843,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.2919890243387723}",20,13,5.996637436374165,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.27738957312183365}",20,0,8.100987948009514,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.263520094465742}",20,0,-34.464927488044395,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.25034408974245487}",20,8,18.73941274353085,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.2378268852553321}",20,13,-5.225682390237649,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.2259355409925655}",20,13,15.09662560263424,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.2146387639429372}",30,1,-21.701327212193032,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.20390682574579033}",25,15,9.578364960415936,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.1937114844585008}",30,16,26.6707004741537,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.18402591023557577}",20,0,-23.035274142457112,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.17482461472379698}",30,20,15.758828124548579,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.16608338398760714}",20,11,12.225802554405304,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.15777921478822676}",20,6,-20.61117641650512,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.14989025404881542}",25,7,18.650607186659922,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.14239574134637464}",25,14,-4.48535265716769,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.1352759542790559}",20,16,7.651820541539172,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.1285121565651031}",20,13,12.689591570277663,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
