trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.08683693129207,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.917888677935377,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.17670496120462,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.80867571701512,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.10543122003784,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.69010805783552,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.99053053539328,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.08241135000648,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.52221886026044,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.58503473401933,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-265.48614224212236,"{0: 11, 1: 4, 2: 10, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-219.40956612966258,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-184.91009355851742,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.35176518467053,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.9711767366475,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-287.7288153484834,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 6}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.80752129597664,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.01879648432688,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.35685948372061,"{0: 8, 1: 6, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.97549098892844,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.84030565743112,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.74429463053428,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.05757924441914,"{0: 8, 1: 5, 2: 6, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-154.77542752106964,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-147.82954005108886,"{0: 9, 1: 2, 2: 5, 3: 3, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.36018001664929,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-38.636509536676044,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.63864378034576,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.95305918129276,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.55709838732318,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
