trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,8,-9.671619368181135,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-67.0296297429833,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",20,0,-151.70260784478438,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-111.73569006990851,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-137.71025716097407,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",20,0,-182.6383328877826,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-189.7023318811172,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",30,0,-77.6936492305924,"{0: 23, 1: 2, 2: 2, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",25,0,-107.53840564524624,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",25,0,-95.02992812966437,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",30,0,-109.1988350838793,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",20,0,-7.56554555294702,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-173.92810329115244,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",20,0,-87.59512219777207,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",20,0,-71.77685947767023,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",20,1,-48.26253096144724,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",35,0,-108.68533159121156,"{0: 26, 1: 2, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",25,0,-167.52331260512415,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",30,0,-152.15638427413217,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",30,0,-130.84268788679114,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212583}",20,0,-81.2586449447659,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390458}",20,0,-63.988958132443244,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436553}",20,0,-29.44456396893339,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",30,0,-112.56738376622033,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991465}",20,0,-39.84571214852005,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",25,0,-109.41821077806293,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",20,0,-169.30035348914046,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,0,-36.62535198877215,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,0,-31.249132994575614,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,0,-52.3965075788346,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543974}",20,0,-8.462317364413389,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",20,7,10.365244029098992,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.7177305325982748}",30,4,-147.50154616961817,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 4}",1
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,0,-76.25143862566956,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",35,0,-41.41143031484922,"{0: 29, 1: 2, 2: 3, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",30,2,-116.70201961117182,"{0: 16, 1: 2, 2: 7, 3: 3, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",25,10,-35.19328335038675,"{0: 11, 1: 2, 2: 0, 3: 2, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.682554595010387}",20,10,-27.446135550130617,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",20,0,-81.10633768065358,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
