trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,10,-96.84332460314188,"{0: 8, 1: 0, 2: 5, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-242.5797829299639,"{0: 14, 1: 0, 2: 4, 3: 3, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-94.92171365076466,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,12,-13.547163846046145,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,10,-46.94104960762866,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,8,-60.812221714829676,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,16,-42.667168765248725,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,4,12.900358272361338,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,12,-9.879315064957392,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-105.83653342649197,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-93.28363329552784,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,5,-11.589953503144018,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,11,-15.103511541476887,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,11,-4.087838723991044,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,16,3.173537090159222,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,10,-0.6664416605738772,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,7,-5.082360468189387,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,9,11.02923989927013,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,16,-7.7434442415661895,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,7,19.755993875989322,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,12,5.663473302601405,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,8,37.292946691748526,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,7,22.544529632690264,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,24.523414926528314,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,1,-2.3265356621115205,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,2.27593228722566,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,5,-17.908889051870002,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,11,25.285221529024543,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",35,12,38.46414557855648,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,12,14.96390560355138,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
