trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,17,-88.52967979363105,"{0: 6, 1: 0, 2: 6, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.9025}",25,11,-81.21703285240817,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",35,20,-84.32238879984276,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",25,1,-169.26582650664756,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 4}",1
5,False,"{'a': 0.5, 'e': 0.7737809374999999}",25,7,-160.73747082733888,"{0: 8, 1: 2, 2: 4, 3: 2, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",20,1,-42.779131927028835,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",25,0,-200.05492005505297,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",30,8,-116.95939969271159,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",20,2,-37.19966673292089,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.5987369392383786}",25,0,-130.49757241250353,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.5688000922764596}",30,0,-6.61519853172493,"{0: 24, 1: 5, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.5403600876626365}",25,11,-24.68385745600615,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.5133420832795047}",20,10,-38.60135943752268,"{0: 7, 1: 0, 2: 1, 3: 2, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.48767497911552943}",30,16,12.813783305822083,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.46329123015975293}",20,0,-54.83981963207991,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.44012666865176525}",30,10,-36.51786402594382,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.41812033521917696}",20,10,5.409409788948502,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.3972143184582181}",20,0,-76.89038023702878,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.37735360253530714}",30,12,-98.70949809337782,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 2}",1
20,False,"{'a': 0.5, 'e': 0.35848592240854177}",20,9,8.856469371202193,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.34056162628811465}",25,0,-69.60787753813761,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.3235335449737089}",20,14,9.761374272654171,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.30735686772502346}",20,5,-2.1818409056897945,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.2919890243387723}",20,13,5.004335746113821,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.27738957312183365}",20,7,-19.25062923872819,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.263520094465742}",30,14,28.203569517915955,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.25034408974245487}",30,11,-27.91978304478105,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.2378268852553321}",35,25,4.203746499301461,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.2259355409925655}",30,10,-28.2519878181078,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.2146387639429372}",35,15,23.263913727040254,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.20390682574579033}",25,17,17.553746369919146,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.1937114844585008}",30,0,-53.630207350604294,"{0: 23, 1: 5, 2: 0, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.18402591023557577}",20,0,13.136098005848787,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.17482461472379698}",25,15,2.636878783823274,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.16608338398760714}",20,0,-8.796535838074089,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.15777921478822676}",25,2,1.2422895089628094,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.14989025404881542}",30,10,-45.741683639413026,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.14239574134637464}",30,16,15.314085083552431,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.1352759542790559}",25,13,19.872375258218497,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
