trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-188.32130444832177,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-109.8990091026401,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",25,0,-100.43524825127459,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,0,-221.54148337720406,"{0: 11, 1: 2, 2: 8, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-165.7056864975226,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",25,0,-108.83309282903801,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-63.0491689564411,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.92274469442792}",20,7,-21.486207880538373,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",20,0,-60.89717835717978,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",30,0,-79.88390112881021,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",25,0,-178.9691919511187,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",20,0,-102.88611874340559,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-122.02728828378817,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",30,0,-144.68877766524133,"{0: 17, 1: 1, 2: 10, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",20,0,-78.76102596707612,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",20,5,-59.79460312641305,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",25,0,-129.46291933661863,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",20,0,-87.51594868652934,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",20,0,-99.3794362717501,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",20,0,-107.75328664045551,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212583}",25,0,-201.5091324777031,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390458}",20,0,-121.73028555421705,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436553}",25,9,-79.80013635444544,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",30,0,-112.76086043855021,"{0: 23, 1: 1, 2: 2, 3: 2, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991465}",35,0,-84.17840593358777,"{0: 27, 1: 2, 2: 3, 3: 2, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",35,0,-91.22252093087788,"{0: 26, 1: 1, 2: 7, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,0,-107.43999586972734,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,14,-7.856286438843929,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",25,0,-223.02934199698578,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 4}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",25,12,-26.23211023385643,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
