trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,11,-17.67579697795745,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9025}",25,13,-58.06301556485487,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",30,9,-187.4516444611321,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 3}",1
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",25,17,-35.529749163844876,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7737809374999999}",30,10,-37.67006981288056,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",20,2,-44.69191071462628,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",20,0,-81.9166783703049,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",20,7,-63.07984509112331,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",20,0,-179.13324028018684,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.5987369392383786}",20,0,-109.62685924228758,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.5688000922764596}",30,7,-41.00830086948989,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.5403600876626365}",35,18,-31.40627987717173,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.5133420832795047}",25,7,-8.194360929214557,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.48767497911552943}",25,0,-40.35556840323674,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.46329123015975293}",20,0,-89.83877170452593,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.44012666865176525}",30,0,-55.55195745169326,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.41812033521917696}",25,0,-64.66691638268149,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.3972143184582181}",20,8,-20.360052780445514,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.37735360253530714}",25,10,1.7714317399671196,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.35848592240854177}",30,0,-127.73479280910914,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",1
21,False,"{'a': 0.5, 'e': 0.34056162628811465}",25,3,-64.02947000108267,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.3235335449737089}",20,3,-29.63885548241661,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.30735686772502346}",25,18,13.502662011698144,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.2919890243387723}",20,12,-68.48672567154135,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
25,False,"{'a': 0.5, 'e': 0.27738957312183365}",20,2,7.884369496209472,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.263520094465742}",25,8,-43.83506670748934,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.25034408974245487}",30,8,-28.020625416463943,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.2378268852553321}",30,8,-30.618325125225816,"{0: 17, 1: 3, 2: 1, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.2259355409925655}",30,20,-13.298309244442825,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.2146387639429372}",20,0,-78.65038986981419,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.20390682574579033}",30,16,15.728388848587127,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.1937114844585008}",20,2,-27.356518108085144,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.18402591023557577}",35,15,-8.247217555051893,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.17482461472379698}",20,11,16.580202069466836,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.16608338398760714}",25,18,14.27279458272747,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.15777921478822676}",30,15,16.426526995810036,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.14989025404881542}",20,14,5.150269644328192,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.14239574134637464}",25,7,-38.79106152576838,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.1352759542790559}",20,13,12.164311818968088,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.1285121565651031}",20,0,20.236490162291233,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.12208654873684793}",30,11,20.60584304035703,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.11598222130000553}",30,9,-45.284240842801495,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.11018311023500525}",20,8,22.641921930798503,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.10467395472325498}",25,1,13.785058662928945,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.09944025698709223}",20,12,-5.33426594562717,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.09446824413773762}",30,13,19.771104880891123,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.08974483193085074}",30,13,25.334017661598804,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.0852575903343082}",25,16,18.52921286750837,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.08099471081759278}",25,13,7.462411467493817,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.07694497527671314}",20,9,7.045135035522586,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.07309772651287748}",30,16,14.792716842761589,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.0694428401872336}",20,11,12.748321153723515,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
