trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,5,2.7845311286463605,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9025}",25,0,13.921647570866536,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",30,0,-18.007136042508048,"{0: 20, 1: 10, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",20,0,5.376241161349134,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7737809374999999}",30,0,20.452276786062,"{0: 26, 1: 4, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",20,0,8.40221227564917,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",30,0,30.896757627308276,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",25,2,27.66785166734126,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",25,2,33.666733330688,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.5987369392383786}",20,12,-13.399846262454794,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.5688000922764596}",25,7,2.360433811876079,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.5403600876626365}",25,0,4.882222284488346,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.5133420832795047}",25,2,38.91323737608148,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.48767497911552943}",20,6,2.473411170381664,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.46329123015975293}",30,13,0.9570853314275074,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.44012666865176525}",25,0,32.042245946893665,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.41812033521917696}",25,11,16.612951546025236,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.3972143184582181}",25,0,29.857558839333464,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.37735360253530714}",25,3,27.054852567043447,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.35848592240854177}",20,0,16.12548918448618,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.34056162628811465}",20,11,10.380463346525845,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.3235335449737089}",20,0,1.3628013634540315,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.30735686772502346}",25,0,12.111166980988688,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.2919890243387723}",25,0,32.10459757094218,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.27738957312183365}",25,0,19.267489789237448,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.263520094465742}",30,19,5.629169632143075,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.25034408974245487}",30,0,35.87196114895449,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.2378268852553321}",35,0,31.179748105165213,"{0: 32, 1: 3, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.2259355409925655}",20,5,15.224688355008992,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.2146387639429372}",20,0,10.812317430505974,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.20390682574579033}",20,0,22.84092680741296,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.1937114844585008}",20,0,29.280053704151676,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.18402591023557577}",20,10,14.361617369050293,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.17482461472379698}",20,14,10.625754311232033,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.16608338398760714}",30,17,24.5257254191551,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.15777921478822676}",25,0,37.312144587766895,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.14989025404881542}",20,3,9.826301433113011,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.14239574134637464}",30,0,42.349886592973725,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.1352759542790559}",20,10,18.33299229858057,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.1285121565651031}",25,0,35.531306415267025,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.12208654873684793}",20,3,16.527497769782446,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.11598222130000553}",25,0,34.91190385395561,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.11018311023500525}",20,0,32.835594429570925,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.10467395472325498}",20,11,15.161734016037498,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.09944025698709223}",25,0,29.83415035171772,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.09446824413773762}",25,0,38.14015088047644,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.08974483193085074}",25,0,38.54916001031831,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.0852575903343082}",25,0,19.604873049806482,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.08099471081759278}",20,9,20.246939624688675,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.07694497527671314}",35,17,27.600326320045852,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.07309772651287748}",35,0,36.49062497074373,"{0: 33, 1: 2, 2: 0, 3: 0, 4: 0}",0
