trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.95}",20,7,-130.49857889008194,"{0: 6, 1: 0, 2: 4, 3: 1, 4: 2}",1
2,False,"{'a': 0.1, 'e': 0.9025}",30,21,-44.371192665653865,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.1, 'e': 0.8573749999999999}",25,11,-42.08760732730916,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
4,False,"{'a': 0.1, 'e': 0.8145062499999999}",30,12,-190.57156923978033,"{0: 9, 1: 0, 2: 4, 3: 2, 4: 3}",1
5,False,"{'a': 0.1, 'e': 0.7737809374999999}",20,0,-137.16499978501807,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.7350918906249998}",20,14,-5.750620859971351,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.1, 'e': 0.6983372960937497}",25,2,-73.78001389632773,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 0}",1
8,False,"{'a': 0.1, 'e': 0.6634204312890623}",25,0,-108.05943720136008,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.6302494097246091}",25,0,-35.30048810610352,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
10,False,"{'a': 0.1, 'e': 0.5987369392383786}",20,0,-127.57845928619035,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.1, 'e': 0.5688000922764596}",20,2,-30.28781104962482,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.1, 'e': 0.5403600876626365}",30,19,13.156752705655357,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.1, 'e': 0.5133420832795047}",20,3,-69.69976715418056,"{0: 9, 1: 5, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.1, 'e': 0.48767497911552943}",20,9,-21.22440289199199,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
15,False,"{'a': 0.1, 'e': 0.46329123015975293}",35,19,19.45552600381164,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.1, 'e': 0.44012666865176525}",30,7,-134.55439869932593,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 3}",1
17,False,"{'a': 0.1, 'e': 0.41812033521917696}",25,9,-35.195018124991755,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.1, 'e': 0.3972143184582181}",20,0,-63.337798015120754,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.37735360253530714}",25,0,-167.8395235115581,"{0: 16, 1: 4, 2: 1, 3: 0, 4: 4}",0
20,False,"{'a': 0.1, 'e': 0.35848592240854177}",30,5,-75.22463208246096,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",1
21,False,"{'a': 0.1, 'e': 0.34056162628811465}",20,1,-45.471586273708574,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
22,False,"{'a': 0.1, 'e': 0.3235335449737089}",25,18,4.968624185105995,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.1, 'e': 0.30735686772502346}",25,13,12.929341819422358,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.1, 'e': 0.2919890243387723}",20,4,6.571678010820003,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 0.1, 'e': 0.27738957312183365}",25,16,7.325186889837102,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.1, 'e': 0.263520094465742}",25,12,-39.271952288000136,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
27,False,"{'a': 0.1, 'e': 0.25034408974245487}",25,7,29.18838739800545,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.1, 'e': 0.2378268852553321}",30,13,22.637228685529486,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.1, 'e': 0.2259355409925655}",20,3,5.990335828042161,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.1, 'e': 0.2146387639429372}",30,9,2.807226834721698,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.1, 'e': 0.20390682574579033}",20,14,9.984200300503977,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.1, 'e': 0.1937114844585008}",30,17,-6.183219272185996,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.1, 'e': 0.18402591023557577}",30,17,16.35926587383355,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.1, 'e': 0.17482461472379698}",25,14,6.711900810794812,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.1, 'e': 0.16608338398760714}",35,9,-51.61937932937005,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 2}",1
36,False,"{'a': 0.1, 'e': 0.15777921478822676}",20,4,16.22768663852297,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.1, 'e': 0.14989025404881542}",25,7,16.726682770705526,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.1, 'e': 0.14239574134637464}",20,14,10.166206671516274,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.1, 'e': 0.1352759542790559}",20,3,33.91369810630799,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.1, 'e': 0.1285121565651031}",25,15,6.785384900075938,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.1, 'e': 0.12208654873684793}",25,0,36.9966989099777,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.1, 'e': 0.11598222130000553}",20,11,18.275349686346853,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.1, 'e': 0.11018311023500525}",25,13,10.008427472008016,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.1, 'e': 0.10467395472325498}",20,5,15.162435508258117,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.1, 'e': 0.09944025698709223}",30,17,18.593011432395095,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.1, 'e': 0.09446824413773762}",20,10,18.700425148544593,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.1, 'e': 0.08974483193085074}",20,14,12.785574303874006,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.1, 'e': 0.0852575903343082}",20,14,14.539155657980507,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.1, 'e': 0.08099471081759278}",20,10,18.47911016112982,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.1, 'e': 0.07694497527671314}",20,0,27.569509546905287,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.1, 'e': 0.07309772651287748}",20,3,27.61028789187048,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.1, 'e': 0.0694428401872336}",30,3,42.70066212121741,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.1, 'e': 0.0659706981778719}",20,5,26.20806201738582,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
